Date,Day,ServiceDay,Regular,Light,Vegan,Vegetarian,Extras
2020-03-04,wednesday,True," beefsteak in red guajillo sauce, with nopales side dishes:  crispy potato cubes  / guacamole", beefsteak in red guajillo sauce with nopales side dishes:  crispy  sweet potato cubes  / guacamole, jamaica flower tacos side dishes:  crispy potato cubes  / guacamole, jamaica flower tacos side dishes:  crispy potato cubes  / guacamole,orejona lettuce salad
2020-03-05,thursday,True, tikka masala side dishes:  steamed rice / sautéed peppers with onions, tandoori chicken side dishes:  steamed rice / sautéed peppers with onions, vegan tikka masala (mushrooms) side dishes:  steamed rice / sautéed peppers with onions, vegetarian tikka masala (mushrooms) side dishes:  steamed rice / sautéed peppers with onions,romaine salad
2020-03-06,friday,True, breaded fish side dishes:  white rice / veggie soup, fish with fine herbs side dishes:  white rice / veggie soup," stuffed poblano chile, with lentils side dishes:  white rice / refried beans"," tempura,stuffed poblano chile, with cheese side dishes:  white rice / refried beans",romaine salad
2020-03-09,monday,True,no service: there will be roasted chicken and tuna available for self service,no service: there will be roasted chicken and tuna available for self service,"tbd, please contact facilities to review options","tbd, please contact facilities to review options",none
2020-03-10,tuesday,True, la universal lonches side dishes:  potato chips / special almond sauce, shredded porkleg tostadas side dishes:  panela slices / avocado slices, la universal lonches side dishes:  potato chips / special almond sauce (vegan), la universal lonches side dishes:  potato chips / special almond sauce (vegan),romaine salad
2020-03-11,wednesday,True, porkloin in orange sauce side dishes:  creamy tomato macaroni / zucchini with corn, porkloin in orange sauce side dishes:  lentil soup / zucchini with corn, provoleta side dishes:  tomato macaroni / zucchini with corn, provoleta side dishes:  tomato macaroni / zucchini with corn,spinach salad
2020-03-12,thursday,True," mexican groundbeef ""picadillo"" side dishes:  red rice / refried beans"," mexican groundbeef ""picadillo"" side dishes:  red rice / refried beans (lowfat)", soy mexican picadillo  side dishes:  red rice / refried beans, soy mexican picadillo  side dishes:  red rice / refried beans,romaine salad
2020-03-13,friday,True, marlin a la vizcaína side dishes:  chinchayote tempura (tortitas de chinchayote) / avocado slices, marlin a la vizcaína side dishes:  steamed chinchayote / avocado slices, vegan burritos side dishes:  steamed chinchayote / avocado slices, vegan burritos side dishes:  chinchayote tempura (tortitas de chinchayote) / avocado slices,orejona with romaine salad
2020-03-16,monday,False,,,,,
2020-03-17,tuesday,True, honey mustard chicken strips side dishes:  fresh fusilli salad  / steamed green beans, chicken breast with optional: honey mustard  side dishes:  fresh lentil salad  / steamed green beans, rice balls with tofu side dishes:  fresh lentil salad  steamed green beans, rice balls with cheese side dishes:  fresh fusilli salad  steamed green beans,mixed lettuce salad
2020-03-18,wednesday,True, beef tinga side dishes:  red rice / charro beans, beef tinga side dishes:  red rice / charro beans (light), carrot and cabbage tinga side dishes:  red rice  / charro beans (with soy chorizo), carrot and cabbage tinga side dishes:  red rice  / charro beans (with soy chorizo),romaine salad
2020-03-19,thursday,True, bbq ribs side dishes:  mashed potatoes / yellow corn on the cob, bbq porksteak side dishes:  mashed sweet potatoes / yellow corn on the cob, bbq mushrooms side dishes:  mashed potatoes / yellow corn on the cob, bbq mushrooms side dishes:  mashed potatoes / yellow corn on the cob,romaine salad
2020-03-20,friday,True," ""baja style"" fish and shrimp tacos side dishes:  steamed cauliflower and carrots / coleslaw", skinny fish and shrimp tacos side dishes:  steamed cauliflower and carrots / coleslaw," ""baja style"" veggie tacos side dishes:  steamed cauliflower and carrots / coleslaw"," ""baja style"" veggie tacos side dishes:  steamed cauliflower and carrots / coleslaw",orejona with iceberg lettuce salad
